Date,SPI3
Mar-06,-0.1032427263
Apr-06,0.1135136865
May-06,0.12413669
Jun-06,-0.2308856287
Jul-06,-0.8377343058
Aug-06,-0.6066411135
Sep-06,-0.6775876686
Oct-06,-0.1544011437
Nov-06,-0.2776147857
Dec-06,0.6796949811
Jan-07,0.2633638977
Feb-07,2.078687469
Mar-07,1.91319272
Apr-07,1.872670543
May-07,-0.01729324541
Jun-07,-0.4037091603
Jul-07,-0.6389285465
Aug-07,-0.4513982111
Sep-07,-0.1790477702
Oct-07,0.1366161577
Nov-07,0.2613183746
Dec-07,-0.1983726021
Jan-08,-0.2729007088
Feb-08,-0.3706063403
Mar-08,-0.8536765096
Apr-08,0.7726505318
May-08,1.569736056
Jun-08,1.35145675
Jul-08,0.2439301489
Aug-08,0.6358246097
Sep-08,0.3417259443
Oct-08,0.720279934
Nov-08,-0.4733403646
Dec-08,0.2500871721
Jan-09,0.9723994207
Feb-09,0.8647228854
Mar-09,0.4619709196
Apr-09,-0.3443432451
May-09,-0.2843550634
Jun-09,-0.1817963091
Jul-09,-0.9450228585
Aug-09,-1.771042082
Sep-09,-1.989542354
Oct-09,-1.796481681
Nov-09,-0.8518388938
Dec-09,-0.1367831212
Jan-10,-0.02484229875
Feb-10,-0.4411451597
Mar-10,-0.7003388607
Apr-10,-0.9766054757
May-10,-1.047947012
Jun-10,0.7181447285
Jul-10,1.096013097
Aug-10,1.772911038
Sep-10,1.799666723
Oct-10,1.647920066
Nov-10,1.307831645
Dec-10,0.4949019148
Jan-11,0.2546759768
Feb-11,0.1354204876
Mar-11,-0.4016626575
Apr-11,-0.1953187454
May-11,-0.5655157454
Jun-11,-1.058627062
Jul-11,-1.145230692
Aug-11,0.1516292004
Sep-11,1.070775573
Oct-11,1.552133487
Nov-11,1.426278528
Dec-11,-0.8304870097
Jan-12,-1.486294994
Feb-12,-1.820448062
Mar-12,-2.033957741
Apr-12,-0.4576648262
May-12,0.1146350877
Jun-12,-0.4364382397
Jul-12,-1.816636927
Aug-12,0.3631426948
Sep-12,0.794371308
Oct-12,1.508107768
Nov-12,0.5831073674
Dec-12,-0.1739431606
Jan-13,0.15624533
Feb-13,1.761841748
Mar-13,1.699972579
Apr-13,1.451353449
May-13,-0.5406816411
Jun-13,-0.4553305266
Jul-13,-0.5355922656
Aug-13,-0.005944313181
Sep-13,-0.07573308854
Oct-13,0.2222735568
Nov-13,-0.1257990174
Dec-13,0.361296485
Jan-14,-0.442623763
Feb-14,-0.8808621473
Mar-14,-0.7092340449
Apr-14,-0.138156525
May-14,0.6215587972
Jun-14,-0.1259347655
Jul-14,-0.07393749295
Aug-14,-0.5005554341
Sep-14,0.4140632507
Oct-14,0.5000717388
Nov-14,1.068022345
Dec-14,-0.3920957293
Jan-15,-0.4146177596
Feb-15,0.1866857873
Mar-15,1.597660577
Apr-15,2.103652987
May-15,1.815362123
Jun-15,0.9797611896
Jul-15,1.706206546
Aug-15,1.633102061
Sep-15,1.517405188
Oct-15,0.5778858431
Nov-15,0.5333581084
Dec-15,-0.7465454154
Jan-16,-1.676724811
Feb-16,-1.212937802
Mar-16,-0.3306543709
Apr-16,-0.08875987564
May-16,-0.05933318532
Jun-16,-0.2453813169
Jul-16,-0.2572997717
Aug-16,0.9098901182
Sep-16,0.6679987206
Oct-16,1.102273605
Nov-16,-0.1476208915
Dec-16,0.7537868001
Jan-17,0.3598684988
Feb-17,-0.03507727813
Mar-17,-0.1850384544
Apr-17,-1.428438996
May-17,-0.4067705539
Jun-17,0.9806864786
Jul-17,1.11819889
Aug-17,0.6413442807
Sep-17,-0.05432282432
Oct-17,-0.8718801388
Nov-17,-0.803128962
Dec-17,0.4374211884
Jan-18,0.2055450586
Feb-18,-0.1411491928
Mar-18,-1.527333141
Apr-18,-0.8127319549
May-18,-0.8098726548
